ticker,end_date,metric,tag_a,val_a,tag_b,val_b,diff,pct_diff,filed_a,filed_b
CACI,2016-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,242577000,ProvidedByUsedInOperatingActivitiesContinuingOperations,242577000,0,0.0,2018-08-20,2017-08-21
CACI,2017-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,281250000,ProvidedByUsedInOperatingActivitiesContinuingOperations,281250000,0,0.0,2019-08-21,2017-08-21
CACI,2015-06-30,net_income,NetIncomeLoss,126195000,ProfitLoss,126296000,-101000,0.07997086210172927,2017-08-21,2017-08-21
CACI,2016-06-30,net_income,NetIncomeLoss,142799000,ProfitLoss,142799000,0,0.0,2018-08-20,2017-08-21
CACI,2017-06-30,net_income,NetIncomeLoss,163671000,ProfitLoss,163671000,0,0.0,2019-08-21,2019-08-21
CACI,2018-06-30,net_income,NetIncomeLoss,301171000,ProfitLoss,301171000,0,0.0,2020-08-14,2020-08-14
CACI,2019-06-30,net_income,NetIncomeLoss,265604000,ProfitLoss,265604000,0,0.0,2021-08-17,2021-08-17
CACI,2020-06-30,net_income,NetIncomeLoss,321480000,ProfitLoss,321480000,0,0.0,2022-08-11,2022-08-11
CACI,2021-06-30,net_income,NetIncomeLoss,457443000,ProfitLoss,457443000,0,0.0,2023-08-10,2023-08-10
CACI,2022-06-30,net_income,NetIncomeLoss,366794000,ProfitLoss,366794000,0,0.0,2024-08-08,2024-08-08
CACI,2023-06-30,net_income,NetIncomeLoss,384735000,ProfitLoss,384735000,0,0.0,2025-08-07,2025-08-07
CACI,2024-06-30,net_income,NetIncomeLoss,419924000,ProfitLoss,419924000,0,0.0,2025-08-07,2025-08-07
CACI,2025-06-30,net_income,NetIncomeLoss,499830000,ProfitLoss,499830000,0,0.0,2025-08-07,2025-08-07
CAH,2008-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,1541700000,ProvidedByUsedInOperatingActivitiesContinuingOperations,1003900000,537800000,34.88357008497114,2010-09-02,2010-09-02
CAH,2009-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,1423900000,ProvidedByUsedInOperatingActivitiesContinuingOperations,951200000,472700000,33.19755600814664,2011-08-26,2011-08-26
CAH,2010-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,2134000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,1987000000,147000000,6.888472352389878,2012-08-22,2012-08-22
CAH,2011-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,1395000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,1395000000,0,0.0,2013-08-20,2012-08-22
CAH,2012-06-30,operating_cash_flow,ProvidedByUsedInOperatingActivities,1176000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,1176000000,0,0.0,2014-08-13,2012-08-22
CAH,2014-06-30,net_income,NetIncomeLoss,1166000000,ProfitLoss,1166000000,0,0.0,2016-08-12,2016-08-12
CAH,2015-06-30,net_income,NetIncomeLoss,1215000000,ProfitLoss,1215000000,0,0.0,2017-08-10,2017-08-10
CAH,2016-06-30,net_income,NetIncomeLoss,1427000000,ProfitLoss,1431000000,-4000000,0.2795248078266946,2018-08-22,2018-08-22
CAH,2017-06-30,net_income,NetIncomeLoss,1288000000,ProfitLoss,1294000000,-6000000,0.46367851622874806,2019-08-20,2019-08-20
CAH,2018-06-30,net_income,NetIncomeLoss,256000000,ProfitLoss,259000000,-3000000,1.1583011583011582,2020-08-13,2020-08-13
CAH,2019-06-30,net_income,NetIncomeLoss,1363000000,ProfitLoss,1365000000,-2000000,0.14652014652014653,2021-08-16,2021-08-16
CAH,2020-06-30,net_income,NetIncomeLoss,-3696000000,ProfitLoss,-3693000000,-3000000,0.08116883116883117,2022-08-11,2022-08-11
CAH,2021-06-30,net_income,NetIncomeLoss,611000000,ProfitLoss,612000000,-1000000,0.16339869281045752,2023-08-15,2023-08-15
CAH,2022-06-30,net_income,NetIncomeLoss,-938000000,ProfitLoss,-937000000,-1000000,0.10660980810234541,2024-08-14,2024-08-14
CAH,2023-06-30,net_income,NetIncomeLoss,330000000,ProfitLoss,331000000,-1000000,0.3021148036253776,2025-08-12,2025-08-12
CAH,2024-06-30,net_income,NetIncomeLoss,852000000,ProfitLoss,853000000,-1000000,0.11723329425556857,2025-08-12,2025-08-12
CAH,2025-06-30,net_income,NetIncomeLoss,1561000000,ProfitLoss,1569000000,-8000000,0.5098789037603569,2025-08-12,2025-08-12
CARR,2022-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,1743000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,1505000000,238000000,13.654618473895583,2025-02-11,2025-02-11
CARR,2023-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,2607000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,2252000000,355000000,13.617184503260452,2026-02-05,2026-02-05
CARR,2024-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,563000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,1571000000,-1008000000,64.16295353278166,2026-02-05,2026-02-05
CARR,2025-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,2513000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,2089000000,424000000,16.872264226024672,2026-02-05,2026-02-05
CARR,2022-12-31,net_income,NetIncomeLoss,3534000000,ProfitLoss,3584000000,-50000000,1.3950892857142858,2025-02-11,2025-02-11
CARR,2023-12-31,net_income,NetIncomeLoss,1349000000,ProfitLoss,1440000000,-91000000,6.319444444444445,2026-02-05,2026-02-05
CARR,2024-12-31,net_income,NetIncomeLoss,5604000000,ProfitLoss,5708000000,-104000000,1.8220042046250877,2026-02-05,2026-02-05
CARR,2025-12-31,net_income,NetIncomeLoss,1484000000,ProfitLoss,1587000000,-103000000,6.490233144297417,2026-02-05,2026-02-05
CAT,2009-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,6499000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,6499000000,0,0.0,2011-02-22,2012-02-21
CAT,2010-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,5009000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,5009000000,0,0.0,2011-02-22,2013-02-19
CAT,2017-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,5706000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,5706000000,0,0.0,2020-02-19,2019-02-14
CAT,2018-12-31,operating_cash_flow,ProvidedByUsedInOperatingActivities,6558000000,ProvidedByUsedInOperatingActivitiesContinuingOperations,6558000000,0,0.0,2021-02-17,2019-02-14
CAT,2008-12-31,net_income,NetIncomeLoss,3557000000,ProfitLoss,3585000000,-28000000,0.7810320781032078,2011-02-22,2011-02-22
CAT,2009-12-31,net_income,NetIncomeLoss,895000000,ProfitLoss,827000000,68000000,7.597765363128492,2011-02-22,2012-02-21
CAT,2010-12-31,net_income,NetIncomeLoss,2700000000,ProfitLoss,2758000000,-58000000,2.102973168963017,2011-02-22,2013-02-19
CCK,2008-12-31,net_income,NetIncomeLoss,226000000,ProfitLoss,330000000,-104000000,31.515151515151512,2011-02-28,2011-02-28
CCK,2009-12-31,net_income,NetIncomeLoss,334000000,ProfitLoss,450000000,-116000000,25.77777777777778,2012-02-29,2012-02-29
CCK,2010-12-31,net_income,NetIncomeLoss,324000000,ProfitLoss,452000000,-128000000,28.31858407079646,2013-03-01,2013-03-01
CCK,2011-12-31,net_income,NetIncomeLoss,282000000,ProfitLoss,396000000,-114000000,28.78787878787879,2014-03-03,2014-03-03
CCK,2012-12-31,net_income,NetIncomeLoss,559000000,ProfitLoss,664000000,-105000000,15.813253012048193,2015-03-02,2015-03-02
CCK,2013-12-31,net_income,NetIncomeLoss,324000000,ProfitLoss,428000000,-104000000,24.299065420560748,2016-02-29,2016-02-29
CCK,2014-12-31,net_income,NetIncomeLoss,390000000,ProfitLoss,478000000,-88000000,18.410041841004183,2017-02-24,2017-02-24
CCK,2015-12-31,net_income,NetIncomeLoss,393000000,ProfitLoss,461000000,-68000000,14.75054229934924,2018-02-26,2018-02-26
CCK,2016-12-31,net_income,NetIncomeLoss,496000000,ProfitLoss,583000000,-87000000,14.922813036020582,2019-02-28,2019-02-28
CCK,2017-12-31,net_income,NetIncomeLoss,323000000,ProfitLoss,428000000,-105000000,24.53271028037383,2020-02-28,2020-02-28
CCK,2018-12-31,net_income,NetIncomeLoss,439000000,ProfitLoss,528000000,-89000000,16.856060606060606,2021-02-26,2021-02-26
CCK,2019-12-31,net_income,NetIncomeLoss,510000000,ProfitLoss,625000000,-115000000,18.4,2022-02-28,2022-02-28
CCK,2020-12-31,net_income,NetIncomeLoss,579000000,ProfitLoss,688000000,-109000000,15.843023255813954,2023-02-27,2023-02-27
CCK,2021-12-31,net_income,NetIncomeLoss,-560000000,ProfitLoss,-411000000,-149000000,26.607142857142858,2024-02-27,2024-02-27
CCK,2022-12-31,net_income,NetIncomeLoss,727000000,ProfitLoss,855000000,-128000000,14.97076023391813,2025-03-03,2025-03-03
CCK,2023-12-31,net_income,NetIncomeLoss,450000000,ProfitLoss,587000000,-137000000,23.339011925042588,2026-02-27,2026-02-27
CCK,2024-12-31,net_income,NetIncomeLoss,424000000,ProfitLoss,560000000,-136000000,24.285714285714285,2026-02-27,2026-02-27
CCK,2025-12-31,net_income,NetIncomeLoss,738000000,ProfitLoss,883000000,-145000000,16.421291053227634,2026-02-27,2026-02-27
CCL,2008-11-30,net_income,NetIncomeLoss,2324000000,ProfitLoss,2324000000,0,0.0,2011-01-31,2011-01-31
CCL,2009-11-30,net_income,NetIncomeLoss,1790000000,ProfitLoss,1790000000,0,0.0,2012-01-30,2011-01-31
CCL,2010-11-30,net_income,NetIncomeLoss,1978000000,ProfitLoss,1978000000,0,0.0,2013-01-29,2011-01-31
