ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,form,total_assets,assets_current,cash,accounts_receivable_net,inventory_net,prepaid_expense_current,ppe_net,other_assets_noncurrent,liabilities_current,stockholders_equity,net_income,goodwill,intangibles_net,total_liabilities,assets_noncurrent,liabilities_noncurrent,marketable_securities
LDOS,"Leidos Holdings, Inc.",2010-10-31,2010-12-09,2011,Q3,0001193125-10-276912,10-Q,5538000000.0,3171000000.0,644000000.0,,,,361000000.0,66000000.0,1807000000.0,2485000000.0,172000000.0,1688000000.0,216000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2011-04-30,2011-06-03,2012,Q1,0001193125-11-158354,10-Q,6183000000.0,3845000000.0,1282000000.0,,,,351000000.0,84000000.0,1805000000.0,2395000000.0,131000000.0,1659000000.0,200000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2011-07-31,2011-09-02,2012,Q2,0001193125-11-239387,10-Q,6113000000.0,3767000000.0,1336000000.0,,,,354000000.0,91000000.0,2248000000.0,2423000000.0,178000000.0,1674000000.0,196000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2011-10-31,2011-12-08,2012,Q3,0001193125-11-335289,10-Q,6463000000.0,3991000000.0,1463000000.0,,,,349000000.0,76000000.0,2698000000.0,2326000000.0,-89000000.0,1827000000.0,186000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2012-04-30,2012-06-01,2013,Q1,0001193125-12-255838,10-Q,6220000000.0,3791000000.0,1167000000.0,,,,339000000.0,75000000.0,2510000000.0,2266000000.0,117000000.0,1826000000.0,166000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2012-07-31,2012-08-31,2013,Q2,0001193125-12-376140,10-Q,5580000000.0,3178000000.0,756000000.0,,,,324000000.0,74000000.0,1781000000.0,2359000000.0,110000000.0,1826000000.0,156000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2012-10-31,2012-12-06,2013,Q3,0001193125-12-492494,10-Q,5866000000.0,3062000000.0,531000000.0,,,,319000000.0,76000000.0,1966000000.0,2455000000.0,112000000.0,2195000000.0,214000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2014-10-31,2014-12-03,2015,Q3,0001336920-14-000031,10-Q,3398000000.0,1675000000.0,418000000.0,,,228000000.0,360000000.0,99000000.0,1001000000.0,976000000.0,34000000.0,1207000000.0,39000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2015-04-03,2015-05-12,2016,Q1,0001336920-15-000017,10-Q,3309000000.0,1651000000.0,377000000.0,,,297000000.0,308000000.0,95000000.0,987000000.0,1000000000.0,41000000.0,1207000000.0,35000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2015-07-03,2015-08-05,2016,Q2,0001336920-15-000041,10-Q,3211000000.0,1692000000.0,365000000.0,,,299000000.0,178000000.0,88000000.0,996000000.0,919000000.0,37000000.0,1207000000.0,32000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2015-07-03,2015-08-07,2016,Q2,0001336920-15-000046,10-Q,3211000000.0,1692000000.0,365000000.0,,,299000000.0,178000000.0,88000000.0,996000000.0,919000000.0,37000000.0,1207000000.0,32000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2015-10-02,2015-10-30,2016,Q3,0001336920-15-000060,10-Q,3302000000.0,1729000000.0,635000000.0,,,250000000.0,178000000.0,155000000.0,1042000000.0,954000000.0,49000000.0,1207000000.0,26000000.0,,,,
LDOS,"Leidos Holdings, Inc.",2016-04-01,2016-04-28,2017,Q1,0001336920-16-000088,10-Q,3391000000.0,1803000000.0,609000000.0,,,225000000.0,136000000.0,214000000.0,1005000000.0,1102000000.0,49000000.0,,,,,,
LDOS,"Leidos Holdings, Inc.",2016-07-01,2016-07-29,2017,Q2,0001336920-16-000108,10-Q,3401000000.0,1817000000.0,670000000.0,,,223000000.0,131000000.0,218000000.0,990000000.0,1124000000.0,41000000.0,,,,,,
LDOS,"Leidos Holdings, Inc.",2020-04-03,2020-05-05,2021,Q1,0001336920-20-000038,10-Q,10988000000.0,2868000000.0,445000000.0,,,,490000000.0,422000000.0,4290000000.0,3355000000.0,115000000.0,5719000000.0,950000000.0,,,,
