ticker,company_name,year_end,filing_date,fiscal_year,accession_number,net_income,total_assets,total_liabilities,log_total_assets,leverage,roa,asset_growth,return_next_year
CACI,CACI INTERNATIONAL INC /DE/,2014-06-30,2014-08-28,2014,0001193125-14-325463,135316000,3359138000,1999972000.0,21.934950230388505,0.5953825058690653,0.040282953543438825,0.34297565431891464,0.08549486867933263
CACI,CACI INTERNATIONAL INC /DE/,2015-06-30,2015-08-21,2015,0001564590-15-007527,126195000,3257116000,1776844000.0,21.904107978203463,0.545526778905019,0.038744398418723805,-0.030371482207637794,0.24779816764940685
CACI,CACI INTERNATIONAL INC /DE/,2016-06-30,2016-08-24,2016,0001564590-16-024672,142799000,3987341000,2380028000.0,22.106390429654212,0.5968960267005005,0.03581308947491574,0.2241937345799167,0.23512935558203724
CACI,CACI INTERNATIONAL INC /DE/,2017-06-30,2017-08-21,2017,0001564590-17-017873,163671000,3911082000,2117361000.0,22.087079899004724,0.5413747397778926,0.0418480103459861,-0.01912527671949803,0.4258485221964037
CACI,CACI INTERNATIONAL INC /DE/,2018-06-30,2018-08-20,2018,0001564590-18-022021,301171000,4034206000,1927319000.0,22.118075341114125,0.47774431945220447,0.074654343382564,0.03148080249915496,0.10996651671107224
CACI,CACI INTERNATIONAL INC /DE/,2021-06-30,2021-08-17,2021,0001564590-21-044839,457443000,6172372000,3507094000.0,22.543349041828048,0.5681922606090495,0.07411137889939233,0.5300091269508795,0.10531397879175593
CACI,CACI INTERNATIONAL INC /DE/,2022-06-30,2022-08-11,2022,0001564590-22-029077,366794000,6629431000,3575888000.0,22.614784815440146,0.5393959149736983,0.05532812695388186,0.0740491661876504,0.17879733044063362
CACI,CACI INTERNATIONAL INC /DE/,2023-06-30,2023-08-10,2023,0000016058-23-000086,384735000,6600808000,3376474000.0,22.61045790272798,0.5115243467163414,0.05828604619313272,-0.004317565112299985,0.30362525424138276
CACI,CACI INTERNATIONAL INC /DE/,2024-06-30,2024-08-08,2024,0000016058-24-000132,419924000,6796101000,3277894000.0,22.639614902329008,0.48231978894957567,0.061788958109951574,0.02958622641349362,0.06557228741797423
CACI,CACI INTERNATIONAL INC /DE/,2025-06-30,2025-08-07,2025,0001628280-25-038739,499830000,8647598000,4753653000.0,22.880547431466514,0.5497079073287172,0.05779986534989254,0.27243518011283235,
CW,CURTISS WRIGHT CORP,2011-12-31,2012-02-24,2011,0000930413-12-001077,130423000,2652837000,1423798000.0,21.698895470335124,0.5367076831331891,0.0491635935415557,0.18323626304516735,-0.08845168918638285
CW,CURTISS WRIGHT CORP,2012-12-31,2013-02-21,2012,0000930413-13-000998,113844000,3114588000,1801996000.0,21.859362717195896,0.5785664107098596,0.036551864965767546,0.17405931838254668,0.6504888626118859
CW,CURTISS WRIGHT CORP,2013-12-31,2014-02-21,2013,0000026324-14-000004,137981000,3458274000,1905569000.0,21.96403545762138,0.5510173572134539,0.03989880501082332,0.11034717914536368,0.08354272339029356
CW,CURTISS WRIGHT CORP,2014-12-31,2015-02-19,2014,0000026324-15-000004,113338000,3399511000,1921078000.0,21.94689743469552,0.5651042164593673,0.03333950088703934,-0.016992002368811727,-0.06455313200845926
CW,CURTISS WRIGHT CORP,2015-12-31,2016-02-25,2015,0000026324-16-000040,145461000,3029378000,1773955000.0,21.831623154866705,0.585583905342945,0.04801678760458417,-0.108878306321115,0.33231317843902264
