ticker,company_name,quarter_end,filing_date,fiscal_year,fiscal_quarter,accession_number,net_income,total_assets,total_liabilities,log_total_assets,leverage,roa,asset_growth,return_next_q
CACI,CACI INTERNATIONAL INC /DE/,2017-03-31,2017-05-05,2017,Q3,0001564590-17-009008,40357000.0,3889374000.0,2150891000.0,22.081514056177006,0.553017272188275,0.010376219926394325,-0.0019991455327141652,0.009067686959665245
CACI,CACI INTERNATIONAL INC /DE/,2017-09-30,2017-11-06,2018,Q1,0001564590-17-021717,42046000.0,3966013000.0,2131527000.0,22.10102714490047,0.5374483139616537,0.010601578966080041,0.019704713406321944,0.06449003844222159
CACI,CACI INTERNATIONAL INC /DE/,2017-12-31,2018-02-01,2018,Q2,0001564590-18-001197,142795000.0,3984133000.0,1997313000.0,22.105585559645682,0.5013168486092207,0.03584092197725327,0.004568820122374788,0.05953126581664789
CACI,CACI INTERNATIONAL INC /DE/,2018-03-31,2018-05-04,2018,Q3,0001564590-18-010965,64499000.0,4047400000.0,1989325000.0,22.12134053660183,0.4915068933142264,0.015935909472747936,0.01587974096246285,0.11785340550278095
CACI,CACI INTERNATIONAL INC /DE/,2018-09-30,2018-11-02,2019,Q1,0001564590-18-026407,78833000.0,4251155000.0,2061097000.0,22.170456547667282,0.4848322397089732,0.01854390159850676,0.050342194989375894,-0.17717925217898536
CACI,CACI INTERNATIONAL INC /DE/,2018-12-31,2019-02-01,2019,Q2,0001564590-19-001641,68596000.0,4290618000.0,2033885000.0,22.17969661545533,0.47403078064744986,0.01598744050390876,0.009282889003106214,0.06711972624491713
CACI,CACI INTERNATIONAL INC /DE/,2019-03-31,2019-05-02,2019,Q3,0001564590-19-015161,68145000.0,5133019000.0,2801536000.0,22.35895982205679,0.5457871868387785,0.013275812928025398,0.19633558615565402,0.048974158008976094
CACI,CACI INTERNATIONAL INC /DE/,2019-09-30,2019-11-01,2020,Q1,0001564590-19-039292,67977000.0,5438184000.0,3012933000.0,22.41671101855337,0.5540329271683342,0.012499944834525644,0.05945136770387953,0.13487767359321484
CACI,CACI INTERNATIONAL INC /DE/,2019-12-31,2020-01-30,2020,Q2,0001564590-20-002663,79195000.0,5526696000.0,3018116000.0,22.432856005570883,0.546097704668395,0.014329537937313723,0.01627602155425414,-0.3045563163292826
CACI,CACI INTERNATIONAL INC /DE/,2020-03-31,2020-04-30,2020,Q3,0001564590-20-020083,80577000.0,5546475000.0,2982845000.0,22.436428427785856,0.5377911195849616,0.014527605370978865,0.003578810920665801,-0.1475601037323774
CACI,CACI INTERNATIONAL INC /DE/,2020-09-30,2020-10-30,2021,Q1,0001564590-20-049135,93644000.0,5950368000.0,3178599000.0,22.506718903330892,0.5341852806414662,0.015737514049551222,0.07281976390410125,0.1423421817649564
CACI,CACI INTERNATIONAL INC /DE/,2020-12-31,2021-01-28,2021,Q2,0001564590-21-002875,106478000.0,5851485000.0,2967206000.0,22.48996131213054,0.507085979029255,0.018196748346787184,-0.016617963796524853,0.0380854312388703
CACI,CACI INTERNATIONAL INC /DE/,2021-03-31,2021-04-22,2021,Q3,0001564590-21-020008,120344000.0,5970415000.0,3451021000.0,22.510082276172774,0.5780202883719139,0.020156722773877526,0.02032475516898702,0.026695292074970324
CACI,CACI INTERNATIONAL INC /DE/,2021-09-30,2021-10-28,2022,Q1,0001564590-21-052491,88109000.0,6179310000.0,3424188000.0,22.544472451697196,0.5541375978871428,0.01425871173318704,0.03498835508084446,-0.07093497567000025
CACI,CACI INTERNATIONAL INC /DE/,2021-12-31,2022-01-27,2022,Q2,0001564590-22-002601,90299000.0,6750690000.0,3904980000.0,22.632910558828737,0.5784564244543892,0.013376262278374507,0.09246663462425417,0.20715939104380804
CACI,CACI INTERNATIONAL INC /DE/,2022-03-31,2022-04-28,2022,Q3,0001564590-22-016285,95417000.0,6576749000.0,3615863000.0,22.60680638724105,0.5497948910624383,0.014508231954724135,-0.025766403138049593,0.07597128198501306
CACI,CACI INTERNATIONAL INC /DE/,2022-09-30,2022-10-27,2023,Q1,0001564590-22-035376,89125000.0,6524882000.0,3376312000.0,22.598888705700457,0.5174518098564848,0.01365925084928739,-0.007886419262769492,-0.011379178949990378
CACI,CACI INTERNATIONAL INC /DE/,2022-12-31,2023-01-26,2023,Q2,0001564590-23-000810,87101000.0,6554549000.0,3304303000.0,22.603425149354194,0.5041236246765415,0.013288633588672539,0.004546748891397576,-0.01895653215624711
CACI,CACI INTERNATIONAL INC /DE/,2023-03-31,2023-04-27,2023,Q3,0000016058-23-000036,100742000.0,6651556000.0,3561916000.0,22.618116649206367,0.5355011669449975,0.015145629082879255,0.014799950385602426,0.07497497047309394
CACI,CACI INTERNATIONAL INC /DE/,2023-09-30,2023-10-26,2024,Q1,0000016058-23-000177,86047000.0,6737471000.0,3573438000.0,22.6309504689051,0.5303826910720655,0.01277140933148358,0.012916526599189723,0.019896419587090486
CACI,CACI INTERNATIONAL INC /DE/,2023-12-31,2024-01-25,2024,Q2,0000016058-24-000030,83870000.0,6658442000.0,3422818000.0,22.619151360197964,0.5140568919876451,0.012596039734220108,-0.011729772194937833,0.09612618906488188
CACI,CACI INTERNATIONAL INC /DE/,2024-03-31,2024-04-24,2024,Q3,0000016058-24-000070,115350000.0,6804384000.0,3439020000.0,22.640832947277268,0.5054123929513679,0.016952306042692475,0.021918340656868377,0.06052148406532368
CACI,CACI INTERNATIONAL INC /DE/,2024-09-30,2024-10-24,2025,Q1,0000016058-24-000199,120177000.0,7183063000.0,3531457000.0,22.69499173070923,0.4916366458153019,0.01673060642792636,0.05565220892883176,-0.29910197573581654
CACI,CACI INTERNATIONAL INC /DE/,2024-12-31,2025-01-28,2025,Q2,0000016058-25-000032,109938000.0,8548499000.0,4820126000.0,22.869021548927844,0.5638564150267784,0.012860503346844868,0.1900910516864463,0.013817424420041574
CACI,CACI INTERNATIONAL INC /DE/,2025-03-31,2025-04-24,2025,Q3,0000016058-25-000053,111860000.0,8580078000.0,4875632000.0,22.87270884131405,0.5682503119435511,0.013037177517500423,0.003694098811966873,0.03190392766425849
CACI,CACI INTERNATIONAL INC /DE/,2025-09-30,2025-10-23,2026,Q1,0000016058-25-000087,124810000.0,8704955000.0,4679456000.0,22.887158240710352,0.5375623423670771,0.014337811051292051,0.0145542965926417,
